validation_set_corpus_pct,topics_range,alpha,eta,minimum_probability,bigram_min_count,coherence
0.75,8,symmetric,symmetric,0.001,3,0.24246587515429968
0.75,8,symmetric,symmetric,0.01,3,0.24210239012489573
0.75,8,symmetric,symmetric,0.1,3,0.24201213779988107
0.75,8,symmetric,auto,0.001,3,0.24264003866897285
0.75,8,symmetric,auto,0.01,3,0.24230783817759194
0.75,8,symmetric,auto,0.1,3,0.24264003866897285
0.75,8,symmetric,,0.001,3,0.24264003866897285
0.75,8,symmetric,,0.01,3,0.24183797428520792
0.75,8,symmetric,,0.1,3,0.24295931505735893
0.75,8,asymmetric,symmetric,0.001,3,0.24480178300730449
0.75,8,asymmetric,symmetric,0.01,3,0.24517078500866543
0.75,8,asymmetric,symmetric,0.1,3,0.24112350539869448
0.75,8,asymmetric,auto,0.001,3,0.23847981090659232
0.75,8,asymmetric,auto,0.01,3,0.2404199161105477
0.75,8,asymmetric,auto,0.1,3,0.2517532338850706
0.75,8,asymmetric,,0.001,3,0.2392516058336409
0.75,8,asymmetric,,0.01,3,0.252190468676242
0.75,8,asymmetric,,0.1,3,0.2414596286387008
0.75,10,symmetric,symmetric,0.001,3,0.252571045639309
0.75,10,symmetric,symmetric,0.01,3,0.2555313788442895
0.75,10,symmetric,symmetric,0.1,3,0.2559793515611371
0.75,10,symmetric,auto,0.001,3,0.2538384792461691
0.75,10,symmetric,auto,0.01,3,0.24727441942270184
0.75,10,symmetric,auto,0.1,3,0.2531191056025091
0.75,10,symmetric,,0.001,3,0.25306663159902343
0.75,10,symmetric,,0.01,3,0.25100599571112503
0.75,10,symmetric,,0.1,3,0.25620573644763
0.75,10,asymmetric,symmetric,0.001,3,0.2484004067418069
0.75,10,asymmetric,symmetric,0.01,3,0.25106516283491764
0.75,10,asymmetric,symmetric,0.1,3,0.24678427901848896
0.75,10,asymmetric,auto,0.001,3,0.24300711256176388
0.75,10,asymmetric,auto,0.01,3,0.24664415999683126
0.75,10,asymmetric,auto,0.1,3,0.252172749677818
0.75,10,asymmetric,,0.001,3,0.24989021126758618
0.75,10,asymmetric,,0.01,3,0.24893157702201002
0.75,10,asymmetric,,0.1,3,0.2469857876085854
0.75,12,symmetric,symmetric,0.001,3,0.25533363313885477
0.75,12,symmetric,symmetric,0.01,3,0.2561393654823081
0.75,12,symmetric,symmetric,0.1,3,0.25983860908302087
0.75,12,symmetric,auto,0.001,3,0.2576536333831679
0.75,12,symmetric,auto,0.01,3,0.2591429065782778
0.75,12,symmetric,auto,0.1,3,0.257713440422499
0.75,12,symmetric,,0.001,3,0.25962570740275437
0.75,12,symmetric,,0.01,3,0.2565800087371039
0.75,12,symmetric,,0.1,3,0.25509485323160397
0.75,12,asymmetric,symmetric,0.001,3,0.2516442375472519
0.75,12,asymmetric,symmetric,0.01,3,0.26043488900514195
0.75,12,asymmetric,symmetric,0.1,3,0.253646314116265
0.75,12,asymmetric,auto,0.001,3,0.2556120291506724
0.75,12,asymmetric,auto,0.01,3,0.2634836642827573
0.75,12,asymmetric,auto,0.1,3,0.25644716321662064
0.75,12,asymmetric,,0.001,3,0.25668058572204727
0.75,12,asymmetric,,0.01,3,0.2562275822116949
0.75,12,asymmetric,,0.1,3,0.25632900500066585
0.75,14,symmetric,symmetric,0.001,3,0.25704459295537263
0.75,14,symmetric,symmetric,0.01,3,0.2544660646220199
0.75,14,symmetric,symmetric,0.1,3,0.25920053311214203
0.75,14,symmetric,auto,0.001,3,0.25977497268525646
0.75,14,symmetric,auto,0.01,3,0.25021531007570147
0.75,14,symmetric,auto,0.1,3,0.2582901643620009
0.75,14,symmetric,,0.001,3,0.25354450311236776
0.75,14,symmetric,,0.01,3,0.24818782839764977
0.75,14,symmetric,,0.1,3,0.2537221822186305
0.75,14,asymmetric,symmetric,0.001,3,0.26039596981361435
0.75,14,asymmetric,symmetric,0.01,3,0.23891412298821185
0.75,14,asymmetric,symmetric,0.1,3,0.25731162707257316
0.75,14,asymmetric,auto,0.001,3,0.2545015605382928
0.75,14,asymmetric,auto,0.01,3,0.24567362337327148
0.75,14,asymmetric,auto,0.1,3,0.25633814342341676
0.75,14,asymmetric,,0.001,3,0.25288867900356493
0.75,14,asymmetric,,0.01,3,0.2531226206802018
0.75,14,asymmetric,,0.1,3,0.25725650850653176
1.0,8,symmetric,symmetric,0.001,3,0.24525299998235378
1.0,8,symmetric,symmetric,0.01,3,0.24361778648679905
1.0,8,symmetric,symmetric,0.1,3,0.24525299998235378
1.0,8,symmetric,auto,0.001,3,0.24314435722925726
1.0,8,symmetric,auto,0.01,3,0.24239819493412657
1.0,8,symmetric,auto,0.1,3,0.244440460241798
1.0,8,symmetric,,0.001,3,0.2433975205173958
1.0,8,symmetric,,0.01,3,0.24525299998235378
1.0,8,symmetric,,0.1,3,0.243230683284723
1.0,8,asymmetric,symmetric,0.001,3,0.24046818330042133
1.0,8,asymmetric,symmetric,0.01,3,0.24327885951080175
1.0,8,asymmetric,symmetric,0.1,3,0.24277954970191995
1.0,8,asymmetric,auto,0.001,3,0.24070954344758064
1.0,8,asymmetric,auto,0.01,3,0.2391187136641676
1.0,8,asymmetric,auto,0.1,3,0.2413810586237386
1.0,8,asymmetric,,0.001,3,0.24235320932931048
1.0,8,asymmetric,,0.01,3,0.239857332423325
1.0,8,asymmetric,,0.1,3,0.2399650499173979
1.0,10,symmetric,symmetric,0.001,3,0.24255963480093995
1.0,10,symmetric,symmetric,0.01,3,0.24154641225478968
1.0,10,symmetric,symmetric,0.1,3,0.24136016964719742
1.0,10,symmetric,auto,0.001,3,0.2422599900769682
1.0,10,symmetric,auto,0.01,3,0.24101149514640702
1.0,10,symmetric,auto,0.1,3,0.2429040484759545
1.0,10,symmetric,,0.001,3,0.24087377771235935
1.0,10,symmetric,,0.01,3,0.24136016964719742
1.0,10,symmetric,,0.1,3,0.24253724779930458
1.0,10,asymmetric,symmetric,0.001,3,0.24338101651248306
1.0,10,asymmetric,symmetric,0.01,3,0.2431007830979003
1.0,10,asymmetric,symmetric,0.1,3,0.24487804358245918
1.0,10,asymmetric,auto,0.001,3,0.24363733530354584
1.0,10,asymmetric,auto,0.01,3,0.24467654576648662
1.0,10,asymmetric,auto,0.1,3,0.24496359939812695
1.0,10,asymmetric,,0.001,3,0.24511905949366555
1.0,10,asymmetric,,0.01,3,0.2431394145505271
1.0,10,asymmetric,,0.1,3,0.24407536239270108
1.0,12,symmetric,symmetric,0.001,3,0.24283737674101702
1.0,12,symmetric,symmetric,0.01,3,0.2465039023603023
1.0,12,symmetric,symmetric,0.1,3,0.2447378587020139
1.0,12,symmetric,auto,0.001,3,0.24392325153384656
1.0,12,symmetric,auto,0.01,3,0.24540296104685866
1.0,12,symmetric,auto,0.1,3,0.24287505379927343
1.0,12,symmetric,,0.001,3,0.2443379576433794
1.0,12,symmetric,,0.01,3,0.2442984415462449
1.0,12,symmetric,,0.1,3,0.24448421447000582
1.0,12,asymmetric,symmetric,0.001,3,0.24583728465182578
1.0,12,asymmetric,symmetric,0.01,3,0.24458019954257085
1.0,12,asymmetric,symmetric,0.1,3,0.24660450344913676
1.0,12,asymmetric,auto,0.001,3,0.24639970991687035
1.0,12,asymmetric,auto,0.01,3,0.24545764679017498
1.0,12,asymmetric,auto,0.1,3,0.2448057294141223
1.0,12,asymmetric,,0.001,3,0.24516952225619595
1.0,12,asymmetric,,0.01,3,0.2471408307053804
1.0,12,asymmetric,,0.1,3,0.2463549547145254
1.0,14,symmetric,symmetric,0.001,3,0.24814137962139218
1.0,14,symmetric,symmetric,0.01,3,0.24807117171953866
1.0,14,symmetric,symmetric,0.1,3,0.24897653306075193
1.0,14,symmetric,auto,0.001,3,0.24221543040897586
1.0,14,symmetric,auto,0.01,3,0.24063816078866948
1.0,14,symmetric,auto,0.1,3,0.24183962242242923
1.0,14,symmetric,,0.001,3,0.24422037127414317
1.0,14,symmetric,,0.01,3,0.2479643568562251
1.0,14,symmetric,,0.1,3,0.24660542253033493
1.0,14,asymmetric,symmetric,0.001,3,0.2449542556166931
1.0,14,asymmetric,symmetric,0.01,3,0.2516407410257964
1.0,14,asymmetric,symmetric,0.1,3,0.25611585157875866
1.0,14,asymmetric,auto,0.001,3,0.2537053260554447
1.0,14,asymmetric,auto,0.01,3,0.2405211858140428
1.0,14,asymmetric,auto,0.1,3,0.2553332336570726
1.0,14,asymmetric,,0.001,3,0.2535073373465845
1.0,14,asymmetric,,0.01,3,0.2530987058343251
1.0,14,asymmetric,,0.1,3,0.2553064325261573
0.75,8,symmetric,symmetric,0.001,5,0.24183637802534902
0.75,8,symmetric,symmetric,0.01,5,0.23992668586318916
0.75,8,symmetric,symmetric,0.1,5,0.23961705518913712
0.75,8,symmetric,auto,0.001,5,0.2410624851995552
0.75,8,symmetric,auto,0.01,5,0.24263383379674425
0.75,8,symmetric,auto,0.1,5,0.2416762568708554
0.75,8,symmetric,,0.001,5,0.23977061605523498
0.75,8,symmetric,,0.01,5,0.24172504885314267
0.75,8,symmetric,,0.1,5,0.24180800744544817
0.75,8,asymmetric,symmetric,0.001,5,0.23913294187074188
0.75,8,asymmetric,symmetric,0.01,5,0.23881260037890162
0.75,8,asymmetric,symmetric,0.1,5,0.24050377324106903
0.75,8,asymmetric,auto,0.001,5,0.2391971190081761
0.75,8,asymmetric,auto,0.01,5,0.24018039076478997
0.75,8,asymmetric,auto,0.1,5,0.24147425591161625
0.75,8,asymmetric,,0.001,5,0.238259272460621
0.75,8,asymmetric,,0.01,5,0.24170825523076947
0.75,8,asymmetric,,0.1,5,0.2428609610532586
0.75,10,symmetric,symmetric,0.001,5,0.23835794792862317
0.75,10,symmetric,symmetric,0.01,5,0.237921866962794
0.75,10,symmetric,symmetric,0.1,5,0.23728318174538723
0.75,10,symmetric,auto,0.001,5,0.23603703821588667
0.75,10,symmetric,auto,0.01,5,0.23790819299783422
0.75,10,symmetric,auto,0.1,5,0.23856365942756122
0.75,10,symmetric,,0.001,5,0.236563650317837
0.75,10,symmetric,,0.01,5,0.23666403678477393
0.75,10,symmetric,,0.1,5,0.23825309540459574
0.75,10,asymmetric,symmetric,0.001,5,0.24713481115043545
0.75,10,asymmetric,symmetric,0.01,5,0.24206800594931122
0.75,10,asymmetric,symmetric,0.1,5,0.24008339706528486
0.75,10,asymmetric,auto,0.001,5,0.23715112267294494
0.75,10,asymmetric,auto,0.01,5,0.24354720185085776
0.75,10,asymmetric,auto,0.1,5,0.24221080982877222
0.75,10,asymmetric,,0.001,5,0.24146551880680261
0.75,10,asymmetric,,0.01,5,0.2442373331238052
0.75,10,asymmetric,,0.1,5,0.24498680220686406
0.75,12,symmetric,symmetric,0.001,5,0.23867473680490378
0.75,12,symmetric,symmetric,0.01,5,0.23589381981970534
0.75,12,symmetric,symmetric,0.1,5,0.2351084799148436
0.75,12,symmetric,auto,0.001,5,0.23220293796472527
0.75,12,symmetric,auto,0.01,5,0.2327914851084351
0.75,12,symmetric,auto,0.1,5,0.2342137693400522
0.75,12,symmetric,,0.001,5,0.23815225112173455
0.75,12,symmetric,,0.01,5,0.23533380273368223
0.75,12,symmetric,,0.1,5,0.2332959039408344
0.75,12,asymmetric,symmetric,0.001,5,0.23744841702693645
0.75,12,asymmetric,symmetric,0.01,5,0.23932878892768028
0.75,12,asymmetric,symmetric,0.1,5,0.23757814212589146
0.75,12,asymmetric,auto,0.001,5,0.23719070813815935
0.75,12,asymmetric,auto,0.01,5,0.23727981145964264
0.75,12,asymmetric,auto,0.1,5,0.23701996311764803
0.75,12,asymmetric,,0.001,5,0.23631022331652096
0.75,12,asymmetric,,0.01,5,0.24119418178638197
0.75,12,asymmetric,,0.1,5,0.2378723601265582
0.75,14,symmetric,symmetric,0.001,5,0.24456445846738653
0.75,14,symmetric,symmetric,0.01,5,0.24458577662811185
0.75,14,symmetric,symmetric,0.1,5,0.24711399556734467
0.75,14,symmetric,auto,0.001,5,0.24636484909139242
0.75,14,symmetric,auto,0.01,5,0.24247844950695913
0.75,14,symmetric,auto,0.1,5,0.24649876859877087
0.75,14,symmetric,,0.001,5,0.24664946594089673
0.75,14,symmetric,,0.01,5,0.24066689580788586
0.75,14,symmetric,,0.1,5,0.24275887404697796
0.75,14,asymmetric,symmetric,0.001,5,0.24165370094936453
0.75,14,asymmetric,symmetric,0.01,5,0.245717684899784
0.75,14,asymmetric,symmetric,0.1,5,0.2420248755149155
0.75,14,asymmetric,auto,0.001,5,0.2400945846751795
0.75,14,asymmetric,auto,0.01,5,0.2408282786292107
0.75,14,asymmetric,auto,0.1,5,0.23985960470939807
0.75,14,asymmetric,,0.001,5,0.24075163486278386
0.75,14,asymmetric,,0.01,5,0.23867705552473753
0.75,14,asymmetric,,0.1,5,0.23991607860719996
1.0,8,symmetric,symmetric,0.001,5,0.24372992216479608
1.0,8,symmetric,symmetric,0.01,5,0.24193455208577927
1.0,8,symmetric,symmetric,0.1,5,0.24241275308834645
1.0,8,symmetric,auto,0.001,5,0.24269531700561559
1.0,8,symmetric,auto,0.01,5,0.2439300513069729
1.0,8,symmetric,auto,0.1,5,0.24089798244872396
1.0,8,symmetric,,0.001,5,0.2437647037053297
1.0,8,symmetric,,0.01,5,0.24440880618697036
1.0,8,symmetric,,0.1,5,0.24197985156926266
1.0,8,asymmetric,symmetric,0.001,5,0.23880694805866123
1.0,8,asymmetric,symmetric,0.01,5,0.23880694805866123
1.0,8,asymmetric,symmetric,0.1,5,0.23760050603195376
1.0,8,asymmetric,auto,0.001,5,0.2382860428083412
1.0,8,asymmetric,auto,0.01,5,0.23878007399548695
1.0,8,asymmetric,auto,0.1,5,0.23902063509229549
1.0,8,asymmetric,,0.001,5,0.23940096093427649
1.0,8,asymmetric,,0.01,5,0.23852527040600988
1.0,8,asymmetric,,0.1,5,0.2395422372018411
1.0,10,symmetric,symmetric,0.001,5,0.24275670327723456
1.0,10,symmetric,symmetric,0.01,5,0.2421171076104282
1.0,10,symmetric,symmetric,0.1,5,0.24149647206119446
1.0,10,symmetric,auto,0.001,5,0.24395710095448525
1.0,10,symmetric,auto,0.01,5,0.2426539660250348
1.0,10,symmetric,auto,0.1,5,0.24292895958860355
1.0,10,symmetric,,0.001,5,0.24242029583367622
1.0,10,symmetric,,0.01,5,0.24175037457053672
1.0,10,symmetric,,0.1,5,0.24031890175410814
1.0,10,asymmetric,symmetric,0.001,5,0.25351386409473137
1.0,10,asymmetric,symmetric,0.01,5,0.2497818897016617
1.0,10,asymmetric,symmetric,0.1,5,0.2521698160629235
1.0,10,asymmetric,auto,0.001,5,0.26631387536023937
1.0,10,asymmetric,auto,0.01,5,0.2562609561491574
1.0,10,asymmetric,auto,0.1,5,0.25324911596672306
1.0,10,asymmetric,,0.001,5,0.24818870006774746
1.0,10,asymmetric,,0.01,5,0.25429097610753437
1.0,10,asymmetric,,0.1,5,0.25624525756643285
1.0,12,symmetric,symmetric,0.001,5,0.24371568264340393
1.0,12,symmetric,symmetric,0.01,5,0.24197440329178874
1.0,12,symmetric,symmetric,0.1,5,0.2464580072348129
1.0,12,symmetric,auto,0.001,5,0.2426249412951963
1.0,12,symmetric,auto,0.01,5,0.24170111900956556
1.0,12,symmetric,auto,0.1,5,0.24908719258099446
1.0,12,symmetric,,0.001,5,0.25618183899173824
1.0,12,symmetric,,0.01,5,0.2495050332969361
1.0,12,symmetric,,0.1,5,0.24952597335178991
1.0,12,asymmetric,symmetric,0.001,5,0.2507275174807086
1.0,12,asymmetric,symmetric,0.01,5,0.25040825577921993
1.0,12,asymmetric,symmetric,0.1,5,0.24906835269454938
1.0,12,asymmetric,auto,0.001,5,0.2517509807938087
1.0,12,asymmetric,auto,0.01,5,0.2501788388724662
1.0,12,asymmetric,auto,0.1,5,0.2538272012256181
1.0,12,asymmetric,,0.001,5,0.249935010247423
1.0,12,asymmetric,,0.01,5,0.2523172695973607
1.0,12,asymmetric,,0.1,5,0.2496792931628954
1.0,14,symmetric,symmetric,0.001,5,0.2442903729588935
1.0,14,symmetric,symmetric,0.01,5,0.24442675010017953
1.0,14,symmetric,symmetric,0.1,5,0.24239195622098822
1.0,14,symmetric,auto,0.001,5,0.2485496192298229
1.0,14,symmetric,auto,0.01,5,0.24979989965242613
1.0,14,symmetric,auto,0.1,5,0.24428057705607323
1.0,14,symmetric,,0.001,5,0.2427508468960713
1.0,14,symmetric,,0.01,5,0.24441164103891877
1.0,14,symmetric,,0.1,5,0.2445759762030483
1.0,14,asymmetric,symmetric,0.001,5,0.24645703781146708
1.0,14,asymmetric,symmetric,0.01,5,0.257900550724922
1.0,14,asymmetric,symmetric,0.1,5,0.2579735646627525
1.0,14,asymmetric,auto,0.001,5,0.2507211567044108
1.0,14,asymmetric,auto,0.01,5,0.2575358883400255
1.0,14,asymmetric,auto,0.1,5,0.2553736077335626
1.0,14,asymmetric,,0.001,5,0.2555913810165712
1.0,14,asymmetric,,0.01,5,0.2506915416299137
1.0,14,asymmetric,,0.1,5,0.24510273863612417
0.75,8,symmetric,symmetric,0.001,7,0.23889071474189622
0.75,8,symmetric,symmetric,0.01,7,0.24135417204948184
0.75,8,symmetric,symmetric,0.1,7,0.23770137646909473
0.75,8,symmetric,auto,0.001,7,0.23800763830363203
0.75,8,symmetric,auto,0.01,7,0.24039160242120478
0.75,8,symmetric,auto,0.1,7,0.2382750397315691
0.75,8,symmetric,,0.001,7,0.23804626629053338
0.75,8,symmetric,,0.01,7,0.23886455456310568
0.75,8,symmetric,,0.1,7,0.23374903965372582
0.75,8,asymmetric,symmetric,0.001,7,0.23827437969839516
0.75,8,asymmetric,symmetric,0.01,7,0.2371381330577328
0.75,8,asymmetric,symmetric,0.1,7,0.2363810533095299
0.75,8,asymmetric,auto,0.001,7,0.24143534891344318
0.75,8,asymmetric,auto,0.01,7,0.2367579845999397
0.75,8,asymmetric,auto,0.1,7,0.23724826658611853
0.75,8,asymmetric,,0.001,7,0.23923677295776788
0.75,8,asymmetric,,0.01,7,0.23916611658506304
0.75,8,asymmetric,,0.1,7,0.23741372515351916
0.75,10,symmetric,symmetric,0.001,7,0.23639795934596014
0.75,10,symmetric,symmetric,0.01,7,0.236598374929041
0.75,10,symmetric,symmetric,0.1,7,0.2381873819230341
0.75,10,symmetric,auto,0.001,7,0.24046463272586177
0.75,10,symmetric,auto,0.01,7,0.23865079838243983
0.75,10,symmetric,auto,0.1,7,0.2372856592784501
0.75,10,symmetric,,0.001,7,0.23695235745582305
0.75,10,symmetric,,0.01,7,0.24054757447890895
0.75,10,symmetric,,0.1,7,0.23944860444709143
0.75,10,asymmetric,symmetric,0.001,7,0.24258692196058912
0.75,10,asymmetric,symmetric,0.01,7,0.24144741529536723
0.75,10,asymmetric,symmetric,0.1,7,0.23786407657882985
0.75,10,asymmetric,auto,0.001,7,0.23580479925118394
0.75,10,asymmetric,auto,0.01,7,0.23816882793488375
0.75,10,asymmetric,auto,0.1,7,0.2385134277000462
0.75,10,asymmetric,,0.001,7,0.2397354768619942
0.75,10,asymmetric,,0.01,7,0.2385706035839839
0.75,10,asymmetric,,0.1,7,0.2392393803906005
0.75,12,symmetric,symmetric,0.001,7,0.23539941305788445
0.75,12,symmetric,symmetric,0.01,7,0.24217666526867318
0.75,12,symmetric,symmetric,0.1,7,0.24226927329626388
0.75,12,symmetric,auto,0.001,7,0.24462757012008493
0.75,12,symmetric,auto,0.01,7,0.2422594942158209
0.75,12,symmetric,auto,0.1,7,0.24423716063346113
0.75,12,symmetric,,0.001,7,0.2404234079853987
0.75,12,symmetric,,0.01,7,0.24385864795696266
0.75,12,symmetric,,0.1,7,0.2455900900903897
0.75,12,asymmetric,symmetric,0.001,7,0.2448905320149134
0.75,12,asymmetric,symmetric,0.01,7,0.24691513775171914
0.75,12,asymmetric,symmetric,0.1,7,0.25609933430156345
0.75,12,asymmetric,auto,0.001,7,0.24983406189673404
0.75,12,asymmetric,auto,0.01,7,0.2400778767620005
0.75,12,asymmetric,auto,0.1,7,0.24785043018673814
0.75,12,asymmetric,,0.001,7,0.243600159517265
0.75,12,asymmetric,,0.01,7,0.2459310565998927
0.75,12,asymmetric,,0.1,7,0.2435007683276423
0.75,14,symmetric,symmetric,0.001,7,0.24006546961079409
0.75,14,symmetric,symmetric,0.01,7,0.23761376031572537
0.75,14,symmetric,symmetric,0.1,7,0.2397721174925189
0.75,14,symmetric,auto,0.001,7,0.23128745343119259
0.75,14,symmetric,auto,0.01,7,0.23575329298212194
0.75,14,symmetric,auto,0.1,7,0.23582730591826023
0.75,14,symmetric,,0.001,7,0.23969173307924777
0.75,14,symmetric,,0.01,7,0.23707090882209061
0.75,14,symmetric,,0.1,7,0.24157826667141744
0.75,14,asymmetric,symmetric,0.001,7,0.24267907021269974
0.75,14,asymmetric,symmetric,0.01,7,0.24264700591634544
0.75,14,asymmetric,symmetric,0.1,7,0.24505933701869428
0.75,14,asymmetric,auto,0.001,7,0.2472201007930496
0.75,14,asymmetric,auto,0.01,7,0.24150039932724748
0.75,14,asymmetric,auto,0.1,7,0.24455412715634298
0.75,14,asymmetric,,0.001,7,0.24518906861219245
0.75,14,asymmetric,,0.01,7,0.245734396473169
0.75,14,asymmetric,,0.1,7,0.24610543698819604
1.0,8,symmetric,symmetric,0.001,7,0.2402521822151774
1.0,8,symmetric,symmetric,0.01,7,0.24061093014964532
1.0,8,symmetric,symmetric,0.1,7,0.23982850322221047
1.0,8,symmetric,auto,0.001,7,0.24004824216489024
1.0,8,symmetric,auto,0.01,7,0.2415255468953132
1.0,8,symmetric,auto,0.1,7,0.23958682429001377
1.0,8,symmetric,,0.001,7,0.24061877181042382
1.0,8,symmetric,,0.01,7,0.24030823352638478
1.0,8,symmetric,,0.1,7,0.24046920445028658
1.0,8,asymmetric,symmetric,0.001,7,0.24117922031148714
1.0,8,asymmetric,symmetric,0.01,7,0.24263315555735754
1.0,8,asymmetric,symmetric,0.1,7,0.24100630289599612
1.0,8,asymmetric,auto,0.001,7,0.242314310201962
1.0,8,asymmetric,auto,0.01,7,0.23914047548045153
1.0,8,asymmetric,auto,0.1,7,0.23855645041907408
1.0,8,asymmetric,,0.001,7,0.2404889444868244
1.0,8,asymmetric,,0.01,7,0.24100630289599612
1.0,8,asymmetric,,0.1,7,0.2395213484348824
1.0,10,symmetric,symmetric,0.001,7,0.24428787737628666
1.0,10,symmetric,symmetric,0.01,7,0.24120799305893353
1.0,10,symmetric,symmetric,0.1,7,0.23670171951490912
1.0,10,symmetric,auto,0.001,7,0.2389956425771417
1.0,10,symmetric,auto,0.01,7,0.24196285090263828
1.0,10,symmetric,auto,0.1,7,0.2414911264794278
1.0,10,symmetric,,0.001,7,0.23809530320835962
1.0,10,symmetric,,0.01,7,0.2404240477642464
1.0,10,symmetric,,0.1,7,0.2398476611956542
1.0,10,asymmetric,symmetric,0.001,7,0.23992908320913436
1.0,10,asymmetric,symmetric,0.01,7,0.26319649558395314
1.0,10,asymmetric,symmetric,0.1,7,0.24123088481186356
1.0,10,asymmetric,auto,0.001,7,0.2656875073176138
1.0,10,asymmetric,auto,0.01,7,0.24099980475402374
1.0,10,asymmetric,auto,0.1,7,0.265724081112016
1.0,10,asymmetric,,0.001,7,0.2617395393421295
1.0,10,asymmetric,,0.01,7,0.2640772863383388
1.0,10,asymmetric,,0.1,7,0.2647273092715382
1.0,12,symmetric,symmetric,0.001,7,0.24956854525417446
1.0,12,symmetric,symmetric,0.01,7,0.2500387112271902
1.0,12,symmetric,symmetric,0.1,7,0.251703145651139
1.0,12,symmetric,auto,0.001,7,0.24891384331057764
1.0,12,symmetric,auto,0.01,7,0.2526615779483004
1.0,12,symmetric,auto,0.1,7,0.25491845081439873
1.0,12,symmetric,,0.001,7,0.2524704155686058
1.0,12,symmetric,,0.01,7,0.2518956899878407
1.0,12,symmetric,,0.1,7,0.2508651302613438
1.0,12,asymmetric,symmetric,0.001,7,0.2540725566767144
1.0,12,asymmetric,symmetric,0.01,7,0.25737486851935426
1.0,12,asymmetric,symmetric,0.1,7,0.25088290428904897
1.0,12,asymmetric,auto,0.001,7,0.25679139971383375
1.0,12,asymmetric,auto,0.01,7,0.2503847711637493
1.0,12,asymmetric,auto,0.1,7,0.25092672265121724
1.0,12,asymmetric,,0.001,7,0.2550661773625869
1.0,12,asymmetric,,0.01,7,0.24789702581539044
1.0,12,asymmetric,,0.1,7,0.25630927256629715
1.0,14,symmetric,symmetric,0.001,7,0.2475963509369336
1.0,14,symmetric,symmetric,0.01,7,0.2473374677976639
1.0,14,symmetric,symmetric,0.1,7,0.24550842401204456
1.0,14,symmetric,auto,0.001,7,0.257059957795745
1.0,14,symmetric,auto,0.01,7,0.2466843017714862
1.0,14,symmetric,auto,0.1,7,0.24643371430754438
1.0,14,symmetric,,0.001,7,0.24889314761895673
1.0,14,symmetric,,0.01,7,0.24422026000947036
1.0,14,symmetric,,0.1,7,0.25652510514681276
1.0,14,asymmetric,symmetric,0.001,7,0.2518094965301524
1.0,14,asymmetric,symmetric,0.01,7,0.25493012418864647
1.0,14,asymmetric,symmetric,0.1,7,0.2624326767861448
1.0,14,asymmetric,auto,0.001,7,0.2611993937966141
1.0,14,asymmetric,auto,0.01,7,0.26597668201267205
1.0,14,asymmetric,auto,0.1,7,0.25524770696636423
1.0,14,asymmetric,,0.001,7,0.2538440139348476
1.0,14,asymmetric,,0.01,7,0.25561102069876257
1.0,14,asymmetric,,0.1,7,0.2597791476774109
